@RELATION classifier_rf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {train_COPD,train_normal}

@DATA
0.003381,0.025996,2.686365,0.089090,0.193080,0.015598,0.046865,0.002926,-28.311053,2.867534,0.508833,0.534844,0.243545,0.282951,0.168909,0.160773,0.098406,0.113682,0.072162,0.074119,0.054030,0.001177,0.000114,0.068346,0.000686,0.072092,0.000447,0.183558,0.000059,0.000247,0.001871,0.012086,0.000135,0.062439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,0.079511,train_COPD
0.003474,0.037904,2.675962,0.086813,0.193538,0.012848,0.047527,0.002840,-28.113779,2.867734,0.567262,0.594192,0.275224,0.273438,0.127127,0.122274,0.071932,0.079658,0.049206,0.054355,0.029665,0.001618,0.000080,0.081581,0.000831,0.051583,0.000476,0.237246,0.000043,0.000214,0.002225,0.007955,0.000101,0.075695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.000000,0.087879,train_COPD
0.003994,0.028823,2.718348,0.090142,0.196485,0.015091,0.030733,0.003532,-27.868888,2.875283,0.600612,0.654001,0.323694,0.302777,0.142731,0.136484,0.076990,0.085707,0.051749,0.067948,0.049918,0.002071,0.000102,0.071317,0.000994,0.059097,0.000621,0.212964,0.000054,0.000274,0.002538,0.013826,0.000130,0.067924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,240.000000,0.088496,train_COPD
0.007130,0.015842,2.681673,0.099475,0.203342,0.021095,0.041042,0.004646,-29.781003,2.658627,0.452857,0.669876,0.249565,0.273237,0.162468,0.108219,0.074844,0.034743,0.026564,0.039235,-0.011182,0.002122,0.000154,0.078020,0.001985,0.059062,0.000607,0.203157,0.000093,0.000318,0.002745,0.012729,0.000277,0.067269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,0.084507,train_COPD
0.002993,0.076412,2.675557,0.085286,0.187252,0.016259,0.039020,0.003500,-26.721112,2.867367,0.414094,0.625450,0.379955,0.377156,0.187241,0.167675,0.117080,0.123766,0.087127,0.101595,0.055306,0.001276,0.000114,0.085056,0.000643,0.051938,0.000423,0.213918,0.000068,0.000234,0.002039,0.019749,0.000139,0.069084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.428571,0.094311,train_COPD
0.002365,0.172072,2.717168,0.086789,0.188709,0.015551,0.053470,0.002890,-26.353847,2.717423,0.391268,0.615432,0.233095,0.292077,0.166477,0.140670,0.076281,0.116980,0.053391,0.074970,0.061094,0.000930,0.000111,0.085347,0.000663,0.052879,0.000458,0.224209,0.000061,0.000238,0.001391,0.013228,0.000142,0.074136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,240.000000,0.092504,train_COPD
0.001235,0.119106,2.648441,0.087641,0.189079,0.015419,0.048044,0.002339,-26.429546,2.653050,0.425570,0.571652,0.283785,0.315288,0.180803,0.181004,0.108273,0.113903,0.075731,0.077639,0.051045,0.000671,0.000098,0.062261,0.000424,0.064408,0.000314,0.223096,0.000055,0.000188,0.000948,0.008273,0.000120,0.070302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.102874,train_COPD
0.018432,0.063814,2.839309,0.150173,0.247343,0.052946,0.038060,0.003326,-26.331860,2.431479,0.476497,0.615229,0.292321,0.265899,0.187350,0.161250,0.098415,0.095181,0.054302,0.065903,0.040691,0.001282,0.000169,0.046146,0.000941,0.102251,0.000532,0.101549,0.000088,0.000286,0.002636,0.015680,0.000183,0.048733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.105183,train_COPD
0.005489,0.023284,2.665847,0.104912,0.212767,0.019694,0.047262,0.002339,-28.850270,2.567244,0.382015,0.482230,0.208749,0.222740,0.120203,0.159038,0.130420,0.149670,0.097993,0.078839,0.035406,0.000661,0.000104,0.062282,0.000482,0.059990,0.000359,0.237275,0.000058,0.000222,0.001040,0.007295,0.000167,0.074074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.428571,0.084485,train_COPD
0.001527,0.179035,2.668269,0.084213,0.185588,0.013744,0.053456,0.002380,-25.941244,2.743265,0.424078,0.557500,0.281172,0.312206,0.185329,0.166724,0.076725,0.101848,0.091973,0.098767,0.055584,0.000631,0.000089,0.075140,0.000419,0.062984,0.000324,0.213946,0.000053,0.000176,0.000953,0.008664,0.000106,0.069689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.082426,train_COPD
