@RELATION classifier_rf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {stop breath,normal data}

@DATA
0.008308,0.004030,2.902606,0.067381,0.155624,0.019716,0.018964,0.014360,-30.745791,4.445577,1.032575,0.370193,-0.317681,-0.207411,-0.023574,0.248260,0.223909,0.078964,-0.169021,-0.273032,-0.253093,0.033076,0.006326,0.076661,0.009553,0.024898,0.004211,0.123025,0.000111,0.002506,0.013218,0.044441,0.003677,0.043688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,240.000000,0.100334,stop breath
0.006463,0.009628,2.871527,0.063698,0.150574,0.013652,0.024453,0.010944,-29.740838,4.377429,1.051403,0.437275,-0.263637,-0.175987,-0.023451,0.240592,0.222146,0.094961,-0.143483,-0.250837,-0.245665,0.026528,0.002615,0.099682,0.005425,0.028618,0.003251,0.140576,0.000060,0.001714,0.010822,0.038081,0.002796,0.052070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.133333,stop breath
0.006901,0.011050,2.871027,0.068412,0.158749,0.015031,0.022091,0.011284,-29.287009,4.269171,1.080430,0.506034,-0.199090,-0.166573,-0.062415,0.187645,0.197879,0.106977,-0.103536,-0.210410,-0.224759,0.024828,0.002049,0.091271,0.006311,0.028139,0.003557,0.134851,0.000060,0.002385,0.012479,0.042601,0.002860,0.048198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.128358,stop breath
0.006613,0.005734,2.856215,0.069949,0.161348,0.016257,0.020374,0.011561,-29.987067,4.231514,1.018412,0.434526,-0.231209,-0.167146,-0.047123,0.202385,0.212735,0.106407,-0.119582,-0.233515,-0.248598,0.026771,0.002815,0.090726,0.005970,0.029838,0.003429,0.141465,0.000077,0.001907,0.010871,0.038084,0.003031,0.050033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.428571,0.115274,stop breath
0.007064,0.017289,2.892228,0.071995,0.164465,0.016114,0.021079,0.011452,-28.457017,4.148343,1.008032,0.474982,-0.204784,-0.172097,-0.079577,0.163921,0.188521,0.118147,-0.083311,-0.187986,-0.214204,0.022620,0.002325,0.084485,0.006315,0.031807,0.004126,0.124323,0.000077,0.003292,0.012540,0.046247,0.002925,0.046833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.000000,0.153846,stop breath
0.006073,0.010627,2.868665,0.067835,0.157868,0.014888,0.022873,0.010590,-29.344848,4.197294,0.987864,0.450749,-0.238012,-0.190776,-0.060248,0.202169,0.214791,0.107920,-0.116629,-0.232258,-0.245958,0.021137,0.002464,0.104103,0.005335,0.029064,0.002646,0.152547,0.000070,0.002075,0.009930,0.034701,0.003018,0.054160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.000000,0.166181,stop breath
0.006404,0.008560,2.899977,0.071991,0.166058,0.015333,0.025693,0.010277,-30.165462,4.051077,1.067490,0.603612,-0.062940,-0.082621,-0.043572,0.164716,0.166343,0.102067,-0.089915,-0.192001,-0.218611,0.028018,0.001369,0.087036,0.004382,0.026683,0.003193,0.142921,0.000064,0.001732,0.012873,0.048181,0.001621,0.052707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.089552,stop breath
0.006574,0.007768,2.848623,0.072318,0.164550,0.016910,0.025153,0.010907,-29.544588,4.126383,1.004929,0.488379,-0.176599,-0.152031,-0.063143,0.174990,0.179258,0.085995,-0.127291,-0.234988,-0.244364,0.033446,0.002342,0.087529,0.005612,0.029424,0.003358,0.137343,0.000069,0.001985,0.011143,0.039322,0.002522,0.051089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.333333,0.108187,stop breath
0.007001,0.010429,2.916405,0.074821,0.165831,0.017892,0.019231,0.011987,-28.550329,4.166311,0.954299,0.417386,-0.236961,-0.164445,-0.048130,0.195236,0.191697,0.088536,-0.131963,-0.224377,-0.218472,0.024924,0.003149,0.100285,0.005021,0.024889,0.004400,0.140165,0.000078,0.002424,0.011895,0.041548,0.002503,0.050724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.000000,0.147632,stop breath
0.006384,0.014884,2.843501,0.071616,0.163792,0.015987,0.025354,0.010608,-28.766424,4.141535,0.982055,0.456160,-0.174355,-0.111884,-0.021318,0.195669,0.187670,0.084009,-0.124038,-0.220148,-0.231548,0.023979,0.002025,0.098348,0.005480,0.027027,0.002778,0.142453,0.000076,0.001645,0.011284,0.043695,0.002065,0.053861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.106707,stop breath
